year,dairy,production,consumption
1993,가공시유,133633,133633
1993,백색시유,1288357,1288357
1993,발효유,465014,465014
1992,전지분유,3988,5948
1992,조제분유,27559,27373
1992,가공시유,107494,107494
1992,백색시유,1301658,1301658
1992,발효유,455259,455216
1992,연유,2902,3069
1992,버터,3364,4580
1992,치즈,9175,9320
1992,탈지분유,10339,18811
1991,전지분유,4137,8578
1991,조제분유,25968,26276
1991,가공시유,102686,102686
1991,백색시유,1247297,1247297
1991,탈지분유,10514,19091
1991,발효유,402420,402420
1991,치즈,8536,8503
1991,버터,4266,4805
1991,연유,4145,3982
1990,백색시유,1242140,1242140
1990,가공시유,94312,94312
1990,조제분유,25692,25535
1990,전지분유,8551,15177
1990,발효유,352896,352896
1990,버터,5095,7254
1990,연유,3391,3448
1990,탈지분유,12261,18302
1990,치즈,6815,6713
1989,백색시유,1122633,1122633
1989,가공시유,81484,81484
1989,조제분유,22790,22412
1989,전지분유,15816,9125
1989,발효유,283956,0
1989,연유,2325,2317
1989,버터,6870,4905
1989,치즈,4768,3188
1989,탈지분유,18763,13371
1988,전지분유,9583,10086
1988,조제분유,20596,20758
1988,가공시유,91631,91631
1988,백색시유,1212783,1212783
1988,탈지분유,9221,10591
1988,발효유,226226,0
1988,치즈,5558,3410
1988,버터,4123,3893
1988,연유,2048,2035
1987,백색시유,1020231,1020231
1987,가공시유,87250,87250
1987,조제분유,19592,19534
1987,전지분유,11636,12537
1987,발효유,192595,0
1987,버터,3780,3793
1987,연유,2441,2806
1987,탈지분유,8680,8939
1987,치즈,2292,1432
1986,전지분유,7423,9223
1986,조제분유,17119,17377
1986,가공시유,88350,88350
1986,백색시유,826653,826653
1986,탈지분유,6681,5996
1986,발효유,168068,0
1986,치즈,707,679
1986,버터,2874,3688
1986,연유,2201,2338
1985,전지분유,11889,11030
1985,조제분유,19096,18750
1985,가공시유,92761,92761
1985,백색시유,647669,647669
1985,발효유,146869,0
1985,연유,2555,2438
1985,버터,3238,2844
1985,치즈,504,478
1985,탈지분유,6803,6046
1984,전지분유,12050,7629
1984,조제분유,17685,18525
1984,가공시유,85376,85376
1984,백색시유,531034,531034
1984,탈지분유,6523,5287
1984,발효유,126952,0
1984,치즈,301,295
1984,버터,2401,1990
1984,연유,2002,1882
1983,백색시유,448216,448216
1983,가공시유,77390,77390
1983,조제분유,18980,18881
1983,전지분유,7500,8034
1983,발효유,116156,0
1983,연유,1605,1332
1983,버터,1571,1635
1983,치즈,181,183
1983,탈지분유,3569,3715
1982,가공시유,76500,76500
1982,조제분유,17643,17439
1982,전지분유,8239,5809
1982,탈지분유,2710,2495
1982,연유,1137,1174
1982,버터,1423,1287
1982,치즈,146,144
1982,발효유,104386,0
1982,백색시유,350263,350263
1981,백색시유,279945,279945
1981,가공시유,92508,92508
1981,발효유,82672,0
1981,치즈,129,128
1981,버터,790,1241
1981,연유,1551,2422
1981,탈지분유,2205,3066
1981,전지분유,6615,10925
1981,조제분유,16465,16428
1980,백색시유,188365,188365
1980,치즈,135,123
1980,버터,1123,740
1980,연유,2002,1183
1980,발효유,98084,0
1980,전지분유,10105,6532
1980,조제분유,16747,16146
1980,가공시유,90691,90691
1980,탈지분유,3377,3018
1979,백색시유,170942,170942
1979,가공시유,72347,72347
1979,발효유,114507,0
1979,치즈,70,68
1979,버터,710,627
1979,연유,1655,1241
1979,탈지분유,3533,3628
1979,전지분유,5507,4767
1979,조제분유,14470,14571
1978,백색시유,145931,145931
1978,치즈,83,90
1978,버터,646,773
1978,연유,1117,1075
1978,발효유,80015,0
1978,전지분유,3863,4376
1978,조제분유,13730,13593
1978,가공시유,74392,74392
1978,탈지분유,1982,2044
